Year,Name,Winner,Metascore,Userscore,Gameplay_Score,Artistry_Score,Production_Type,Genre(s)
2014,Dragon Age: Inquisition,1,85,6.1,8.0,9.0,AAA,"3D, Action, Adventure, Role-Playing, Third-Person"
2014,Bayonetta 2,0,91,9,9.5,8.5,AAA,"Adventure, Action"
2014,Dark Souls II,0,91,7.8,9.0,8.0,AAA,"Action, Role-Playing"
2014,Hearthstone,0,88,5.7,9.0,7.5,AA/Other,Card Game
2014,Middle-earth: Shadow of Mordor,0,84,7.9,9.0,8.0,AAA,"Open-World, Adventure, Action"
2015,The Witcher 3: Wild Hunt,1,92,9.1,8.5,10.0,AAA,"Action, Role-Playing"
2015,Bloodborne,0,92,8.9,9.5,9.5,AAA,"Action, Role-Playing"
2015,Fallout 4,0,87,7,8.0,8.5,AAA,"Role-Playing, VR"
2015,Metal Gear Solid V: The Phantom Pain,0,93,8.1,10.0,8.5,AAA,"Open-World, Adventure, Action"
2015,Super Mario Maker,0,88,8.6,9.5,7.0,AAA,"Platformer, 2D, Action"
2016,Overwatch,1,91,6.5,9.5,8.5,AAA,"Action, First-Person, Shooter, Tactical"
2016,Doom,0,79,8.3,9.5,8.0,AAA,"3D, Action, First-Person, Shooter"
2016,Inside,0,93,8.3,8.0,10.0,Indie,"2D, Action, Platformer"
2016,Titanfall 2,0,89,8.5,9.5,8.0,AAA,"3D, Action, First-Person, Shooter"
2016,Uncharted 4: A Thief's End,0,93,8.8,8.5,10.0,AAA,"Adventure, Action"
2017,The Legend of Zelda: Breath of the Wild,1,97,8.8,10.0,9.5,AAA,"Open-World, Adventure, Action"
2017,Horizon Zero Dawn,0,89,8.3,8.5,9.5,AAA,"Open-World, Adventure, Action"
2017,Persona 5,0,93,8.9,9.0,10.0,AA/Other,Role-Playing
2017,PlayerUnkown's Battlegrounds,0,86,4.9,9.0,5.0,AA/Other,"First-Person, Action, Tactical, Shooter"
2017,Super Mario Odyssey,0,97,8.9,10.0,9.0,AAA,"3D, Action, Platformer"
2018,God of War,1,94,9.1,9.0,10.0,AAA,"Adventure, Action"
